collection_slug,event_type,total_price,id,image_url,image_preview_url,image_thumbnail_url,name,buyer_username,buyer_profile_img_url,seller_username,seller_profile_img_url,timestamp
manzcoin-nftz,successful,0.069,20949438,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #144 / 200,,https://storage.googleapis.com/opensea-static/opensea-profile/2.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-04T02:57:14
manzcoin-nftz,successful,0.069,20900324,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #52 / 200,Parcher,https://storage.googleapis.com/opensea-static/opensea-profile/6.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-03T20:06:45
manzcoin-nftz,successful,0.069,20800663,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #36 / 200,,https://storage.googleapis.com/opensea-static/opensea-profile/15.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-03T19:47:02
manzcoin-nftz,successful,0.069,20800651,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #35 / 200,ahewgill,https://storage.googleapis.com/opensea-static/opensea-profile/29.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-03T15:42:57
manzcoin-nftz,successful,0.069,20919897,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #80 / 200,Mocexx,https://storage.googleapis.com/opensea-static/opensea-profile/15.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-03T13:36:08
manzcoin-nftz,successful,0.069,20800927,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #40 / 200,skyler,https://storage.googleapis.com/opensea-static/opensea-profile/14.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-03T04:00:30
manzcoin-nftz,successful,0.069,20948687,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #123 / 200,strem87,https://storage.googleapis.com/opensea-static/opensea-profile/27.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-03T02:20:08
manzcoin-nftz,successful,0.069,20740234,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #19 / 200,RyanFoley,https://storage.googleapis.com/opensea-static/opensea-profile/31.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-03T02:11:00
manzcoin-nftz,successful,0.069,20800433,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #31 / 200,dcoop328,https://storage.googleapis.com/opensea-static/opensea-profile/9.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-03T00:50:43
manzcoin-nftz,successful,0.15000000000000002,20948629,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #115 / 200,dcoop328,https://storage.googleapis.com/opensea-static/opensea-profile/9.png,loudogsports,https://storage.googleapis.com/opensea-static/opensea-profile/5.png,2021-04-03T00:47:29
